Aardsma,David Allan,290.0
Aaron,Henry Louis,252.0
Aaron,Tommie Lee,265.0
Aase,Donald William,265.0
Abad,Fausto Andres,257.0
Abad,Fernando Antonio,293.0
Abadie,John W.,264.0
Abbaticchio,Edward James,241.0
Abbey,Bert Wood,246.0
Abbey,Charles S.,237.0
Abbott,Leander Franklin,261.0
Abbott,Harry Frederick,250.0
Abbott,William Glenn,278.0
Abbott,Jeffrey William,264.0
Abbott,James Anthony,275.0
Abbott,Kurt Thomas,251.0
Abbott,Lawrence Kyle,276.0
Abbott,Ody Cleon,254.0
Abbott,Paul David,260.0
Aber,Albert Julius,269.0
Abercrombie,Francis Patterson,
Abercrombie,Reginald Damascus,290.0
Abernathie,William Edward,260.0
Abernathy,Michael Brent,258.0
Abernathy,Talmadge Lafayette,284.0
Abernathy,Theodore Wade,291.0
Abernathy,Virgil Woodrow,242.0
Aberson,Clifford Alexander,272.0
Ables,Harry Terrell,274.0
Abner,Shawn Wesley,263.0
Abrams,Calvin Ross,257.0
Abrams,George Allen,239.0
Abrego,Johnny Ray,257.0
Abreu,Bob Kelly,292.0
Abreu,Joseph Lawrence,228.0
Abreu,Jose Dariel,330.0
Abreu,Juan de Dios,257.0
Abreu,Etanislao Toni,270.0
Abreu,Winston Leonardo,244.0
Abstein,William Henry,257.0
Accardo,Jeremiah Lee,267.0
Aceves,Alfredo,279.0
Acevedo,Jose Omar,257.0
Acevedo,Juan Carlos,319.0
Achter,Adam Joseph,292.0
Acker,James Justin,284.0
Acker,Thomas James,291.0
Ackley,Dustin Michael,278.0
Ackley,Florian Frederick,275.0
Acosta,Cecilio,235.0
Acosta,Eduardo Elixbet,292.0
Acosta,Jose,200.0
Acosta,Manuel Alcides,291.0
Acosta,Baldomero Pedro,207.0
Acre,Mark Robert,315.0
Acta,Manuel Elias,246.0
Adair,Marion Danne,240.0
Adair,Kenneth Jerry,247.0
Adair,James Audrey,224.0
Adames,Cristhian Pascual,257.0
Adams,Ace Townsend,252.0
Adams,Austin David,271.0
Adams,Charles Benjamin,256.0
Adams,John Bertram,258.0
Adams,Robert Burnette,239.0
Adams,Robert Andrew,237.0
Adams,Robert Henry,230.0
Adams,Robert Melvin,274.0
Adams,Elvin Clark,252.0
Adams,Daniel Leslie,236.0
Adams,David Lee,279.0
Adams,Richard Leroy,257.0
Adams,Harold Douglas,260.0
Adams,George Henry,241.0
Adams,Glenn Charles,253.0
Adams,Herbert Loren,229.0
Adams,James J.,214.0
Adams,Joseph Edward,262.0
Adamson,Joel Lee,261.0
Adams,Karl Tutwiler,244.0
Adams,Lane Weston,295.0
Adams,Matthew James,335.0
Adamson,John Michael,259.0
Adams,Robert Michael,249.0
Adams,Jon Michael,287.0
Adams,Charles Dwight,257.0
Adams,Reuben Alexander,237.0
Adams,Ricky Lee,254.0
Adams,Russ Moore,277.0
Adams,Ryan Scott,256.0
Adams,Earl John,216.0
Adams,Spencer Dewey,227.0
Adams,Terry Wayne,255.0
Adams,James Irvin,256.0
Adams,William Edward,294.0
Adcock,Joseph Wilbur,286.0
Adcock,Nathan Masler,311.0
Addis,Robert Gordon,247.0
Adduci,James David,277.0
Adduci,Jim Charles,284.0
Addy,Robert Edward,228.0
Adenhart,Nicholas James,260.0
Aderholt,Morris Woodrow,261.0
Adkins,John Dewey,269.0
Adkins,Richard Earl,235.0
Adkins,Merle Theron,290.0
Adkins,Grady Emmett,246.0
Atkinson,John Harry,
Adkins,Jonathan Scott,272.0
Adkins,Steven Thomas,288.0
Adleman,Timothy Max,302.0
Adlesh,David George,259.0
Adrianza,Ehire Enrique,243.0
Afenir,Michael Troy,261.0
Affeldt,Jeremy David,301.0
Agbayani,Benny Peter,297.0
Agee,Tommie Lee,266.0
Agganis,Harry,274.0
Agler,Joseph Abram,236.0
Agnew,Samuel Lester,256.0
Agosto,Juan Roberto,264.0
Aguayo,Luis,242.0
Aguila,Christopher Louis,271.0
Aguilar,Jesus Alexander,325.0
Aguilera,Richard Warren,271.0
Aguirre,Henry John,281.0
Ahearn,William H.,
Ahearne,Patrick Howard,270.0
Ahmed,Nicholas Mark,269.0
Aikens,Willie Mays,295.0
Ainge,Daniel Ray,251.0
Ainsmith,Edward Wilbur,251.0
Ainsworth,Kurt Harold,267.0
Aitchison,Raleigh Leonidas,246.0
Aiton,George Wilson,246.0
Ake,John Leckie,253.0
Akerfelds,Darrel Wayne,284.0
Aker,Jackie Delane,264.0
Akers,William G.,249.0
Akers,Albert Earl,246.0
Alba,Gibson Alberto,234.0
Albaladejo,Jonathan,347.0
Albanese,Joseph Peter,290.0
Albers,Andrew William,273.0
Alberts,Francis Burt,279.0
Alberts,Frederick Joseph,302.0
Alberts,Augustus Peter,246.0
Alberto,Hanser Joel,286.0
Alberro,Jose Edgardo,264.0
Albers,Matthew James,298.0
Albosta,Edward John,248.0
Albrecht,Edward Arthur,235.0
Albright,Harold John,244.0
Alburquerque,Alberto Jose,267.0
Albury,Victor,262.0
Alcala,Santo,272.0
Alcantara,Arismendy,240.0
Alcantara,Israel,254.0
Alcantara,Raul,296.0
Alcaraz,Angel Luis,234.0
Alcock,John Forbes,229.0
Alderson,Dale Leonard,260.0
Aldrete,Michael Peter,251.0
Aldred,Scott Phillip,271.0
Aldridge,Cory Jerome,282.0
Aldrich,Jay Robert,285.0
Aldridge,Victor,244.0
Aleno,Charles,288.0
Alexander,Robert Somerville,279.0
Alexander,David Dale,285.0
Alexander,Doyle Lafayette,265.0
Alexander,Gary Wayne,269.0
Alexander,Gerald Paul,261.0
Alexander,Hugh,262.0
Alexander,Matthew,239.0
Alexander,Manuel de Jesus,220.0
Alexander,William Henry,227.0
Alexander,Grover Cleveland,258.0
Alexander,Scott Alain,264.0
Alexander,Walter Ernest,235.0
Alfaro,Jason,255.0
Alfaro,Jorge Mario,299.0
Alfonseca,Antonio,327.0
Alfonzo,Edgardo Antonio,281.0
Alfonzo,Eliezer Jesus,291.0
Alicea,Luis Rene,234.0
Allanson,Andrew Neal,297.0
Allard,Brian Marshall,248.0
Allen,Bernard Keith,247.0
Allen,Robert Gilman,246.0
Allen,Robert,250.0
Allen,Robert Earl,238.0
Allen,Robert Gray,249.0
Allen,Brandon Durell,304.0
Allen,John Chad,268.0
Allen,Cody Edward,283.0
Allen,Richard Anthony,258.0
Allen,Dustin R.,291.0
Allen,Ethan Nathan,253.0
Allen,Frank Leon,244.0
Allenson,Gary Martin,256.0
Allen,Frank Erwin,
Allen,Harold Andrew,262.0
Allen,Hezekiah,231.0
Allen,Horace Tanner,259.0
Allen,Cyrus Alban,
Allen,James Bradley,277.0
Allensworth,Jermaine LaMont,250.0
Allen,John Marshall,243.0
Allen,John Thomas,252.0
Allen,Kim Bryant,246.0
Allen,Lloyd Cecil,258.0
Allen,Lucas Gale,282.0
Allen,Myron Smith,218.0
Allen,Neil Patrick,260.0
Allen,Artemus Ward,252.0
Allen,Jesse Hall,253.0
Allen,Ronald Frederick,280.0
Allen,Roderick Bernet,258.0
Allen,Fletcher Manson,253.0
Alley,Leonard Eugene,230.0
Allietta,Robert George,262.0
Allie,Gair Roosevelt,263.0
Allison,Andrew Kent,220.0
Allison,Arthur Algernon,218.0
Allison,William,
Allison,William Robert,280.0
Allison,Dana Eric,290.0
Allison,Douglas L.,230.0
Allison,Mack Pendleton,258.0
Allison,Milo Henry,235.0
Allred,Dale LeBeau,262.0
Almada,Baldomero Melo,242.0
Almanza,Armando,280.0
Almanzar,Carlos Manuel,240.0
Almeida,Rafael D.,233.0
Almonte,Abraham,279.0
Almon,William Francis,255.0
Almonte,Edwin,275.0
Almonte,Erick R.,319.0
Almonte,Hector Radhames,264.0
Almonte,Miguel Emilio,284.0
Almonte,Zoilo Manuel,277.0
Almora,Reinaldo Albert,264.0
Aloma,Luis,269.0
Alomar,Roberto,256.0
Alomar,Santos,209.0
Alomar,Santos,277.0
Alonso,Yonder,303.0
Alou,Felipe Rojas,267.0
Alou,Jesus Maria Rojas,264.0
Alou,Mateo Rojas,229.0
Alou,Moises Rojas,260.0
Alpermann,Charles Augustus,250.0
Alston,Wendell,252.0
Alston,Garvin James,259.0
Alston,Thomas Edison,287.0
Alston,Walter Emmons,269.0
Altamirano,Porfirio,247.0
Altavilla,Daniel,271.0
